"","NR2F1","CREB1","HLF","FOXA2","NHLH1","GABPA","PBX1","ELK4","SOX9","TEAD1","TAL1..TCF3","ETS1","REL","CEBPA","ZEB1","RELA","ELF5","CTCF","SOX2","TFCP2","FOXA1","CEBPB","ELF1","ERG","FOSL1","JUN","JUND.var.2.","MYOD1","MYOG","RFX1","RFX5","RUNX2","STAT1..STAT2","TCF3","EHF","RFX2","ATF3","ELF3","ELF4","ETV6","GRHL1","JDP2.var.2.","MSC","MYF6","NEUROG2","NFIA","NKX2.3","NKX2.8","RUNX3","SPIC","TFAP4","ZBTB18","SNAI2","ETV1","ETV2","ETV4","ETV5","IRF7","MEIS2","MEIS3","PKNOX1","PKNOX2","TGIF1","RFX3","RFX4","TBX4","TBX5","FIGLA","TCF4","BATF3","CEBPD","CEBPE","CEBPG","FOXD2","FOXO6","RXRB","RXRG","SOX8","ASCL1","GRHL2","NEUROD1","PBX2","PBX3","SIX1","SIX2","SOX13","TWIST1","ZNF384","FOSL1..JUN.var.2.","FOSL2..JUND.var.2.","PPARA..RXRA","ATOH1.var.2.","ATOH7","BHLHA15.var.2.","FERD3L","HNF4A.var.2.","IKZF1","NFIX.var.2.","NHLH2","NR2F1.var.2.","NR6A1","PPARD","SNAI1","SNAI3","THRB","ASCL1.var.2.","ATF2","BHLHE22.var.2.","CEBPG.var.2.","HAND2","MEIS1.var.2.","MEIS2.var.2.","MYF5","NEUROG2.var.2.","NFIB","TCF12.var.2.","FOXA3"
"NR2F1",1,0.524766892807942,0.545603163757758,-0.459622722455176,-0.474344019691572,0.0741569873817438,0.29453019079263,0.283731413464392,-0.568328855126061,-0.248799202502523,-0.37782412073863,-0.517479570892519,-0.325348742609823,-0.606194935911947,0.205514994933086,0.566967228057049,0.567871178094951,0.584352133667186,-0.480757935436903,0.567900314325584,-0.5964948587695,-0.569665913758035,-0.492079636813605,0.546636155259025,-0.538136887892391,0.583922811800554,-0.547488715294795,-0.0426356896797804,-0.0755732862911411,-0.0704143251083402,-0.462838117896822,0.6546768149669,0.652107936121827,0.680505487758312,0.311259649660915,0.688488197397151,0.276945419966916,0.271903373112716,-0.64365253464893,0.538228731970317,0.538228731970317,0.556050262741631,-0.611696632578534,-0.608186349871171,-0.61716090372259,0.11159189321031,-0.538490262545593,-0.562225860566718,0.602709173705416,0.527662777066204,0.483097080514247,0.515006190088631,0.528970199801757,0.524268122410592,-0.559182537813084,0.186341832236362,0.119228176142076,-0.549675593329417,0.628415139260615,0.606088825918411,0.583859662801723,0.606091543413035,-0.525793142187319,-0.278251499960149,-0.309835742129298,0.560686210637862,-0.529104137717013,-0.551596496890505,-0.555819654307846,0.57034097918022,0.572456762548923,-0.535263564709549,0.580094080603157,0.219839156327784,-0.0413340810348146,0.499006265817331,0.580714283242741,0.19811759865297,0.559686489068793,-0.39188454050676,0.591513135843807,0.814678826656543,0.707957269086341,0.561915688938444,0.606349855237153,-0.353671239150432,0.572944817761378,0.127176728643964,0.131573944461338,-0.619461087898555,-0.632292133163762,0.418469081125973,-0.451925137313518,-0.352133785351415,-0.392169201501402,-0.248326130356772,-0.284964485032226,-0.26737088520081,0.155395240675643,0.262655316414997,0.146191793865452,-0.292564960013306,-0.599633221743015,-0.480858503331386,0.63252298170261,0.585178467280152,0.707516845812484,0.595293634163729,0.323979213938997,0.339171987654415,-0.623162082144093,0.594159800121716,0.548700611138983,0.572801956752792,0.558447278276301,-0.669590274182915,0.565106851394219
"CREB1",0.524766892807942,1,0.540849287848013,-0.403671533732371,-0.414364317321965,0.0221653247483985,0.218619094832299,0.22096854619814,-0.465639866634069,-0.178340203676018,-0.286049482635124,-0.401730669506489,-0.240482493844941,-0.493941262365976,0.153610310372347,0.55381342715508,0.555504176436833,0.537665531386354,-0.282664148751791,0.557559968441774,-0.518590714555253,-0.488731273572013,-0.40073683847514,0.537080184654137,-0.44220873622454,0.545943537025438,-0.451820104292934,-3.98910843347913e-06,-0.0348080092004443,-0.0155785227907268,-0.407145469477625,0.550285987085044,0.529718615879251,0.591832987671104,0.358104312553557,0.587345561429802,0.332075569761113,0.33542494505878,-0.516386020812129,0.416721635607735,0.416721635607735,0.505618273295445,-0.538922517402913,-0.530540009013569,-0.532351268566292,0.170469519389882,-0.462476787341403,-0.484195673228855,0.601050548635698,0.356075657379643,0.42151172914575,0.440718016459528,0.791153899451824,0.4671586045601,-0.427160456028121,0.145484268425486,0.078908806976438,-0.482265554278964,0.606549185508882,0.555288341911051,0.587387665442127,0.560047966419544,-0.448119675924798,-0.182227692586508,-0.102974556053093,0.530608539930564,-0.453574436670398,-0.479912286272707,-0.473518603084885,0.53391477063916,0.535871325735542,-0.456269245312114,0.574094772980672,0.173334432764279,0.0637392015705604,0.844511003585059,0.540637606998607,0.141794253175406,0.567128642357475,-0.382311741941358,0.561990704467167,0.546267112058593,0.48821992774403,0.569641210505517,0.599324599236167,-0.142438764820751,0.527311139360266,0.176600476744351,-0.0340268449080384,-0.538531955904317,-0.547903948225524,0.324605193612781,-0.339887948999304,-0.235614809408439,-0.291122200085012,-0.150841365397111,-0.19431726308932,-0.195439770274939,-0.0149794453883423,0.302841995060819,0.189831924666906,-0.190966634066782,-0.485964838244602,-0.412173596292775,0.585519508719062,0.573346725659783,0.502471331231512,0.419558836368516,0.358853727233869,0.375968689290035,-0.523552499266496,0.538490254382656,0.782508206419883,0.527713655437096,0.528871314088152,-0.600777854061276,0.511433470960506
"HLF",0.545603163757758,0.540849287848013,1,-0.539196589296886,-0.555104298407651,0.288686043333138,0.291493503957917,0.290042978422202,-0.527767774558989,-0.104767431550244,-0.267816354189,-0.459330553745766,-0.219171993167383,-0.629317029406673,0.219974568965581,0.813731416255987,0.786732793997682,0.738800030377413,-0.425397437121535,0.812604244996954,-0.64270411649737,-0.616661366042,-0.473454109661772,0.769164615802632,-0.568234197486359,0.787729670471516,-0.600830950205255,0.118730466815019,0.0841468281688359,0.0682770269874839,-0.420145756955856,0.636041865935054,0.591801736735952,0.716336852547836,0.554276353905463,0.708795622611703,0.526735185955334,0.522210012852064,-0.649185517198664,0.541789107233855,0.541789107233855,0.731707275836252,-0.666939166642583,-0.657181733228368,-0.662171178265667,-0.0453386940192994,-0.615290947320132,-0.638733173918802,0.856167167582597,0.330797544374862,0.442313817725273,0.483347976135894,0.544791296212346,0.668491740330634,-0.429580666674996,0.193063689859068,0.121674792783592,-0.658436783954741,0.848581353158615,0.794111754916833,0.861692473936697,0.767752663214015,-0.581306644154236,-0.207917832457916,-0.252871727944054,0.769904570213069,-0.615988812002607,-0.591031655123533,-0.621880062694845,0.746523261543909,0.744200796092475,-0.607629896144838,0.821324602061493,0.241065599050578,-0.139951923250882,0.486349262203011,0.767006746845576,0.191106000301038,0.798880265411869,-0.438657753051254,0.854479800142129,0.569360700335442,0.53360336873776,0.818426727814658,0.854294875674276,-0.301178370735073,0.742697396499536,-0.0461628025591281,-0.121847428563869,-0.655356586237208,-0.676136466008647,0.4013973877582,-0.409897152512445,-0.268731038465957,-0.353843810680139,-0.161222188059523,-0.231984336180072,-0.152258496158519,-0.102385418012163,0.107391661617962,-0.0462441804628891,-0.211620418540308,-0.630721891185542,-0.526952839629447,0.800332360460701,0.82902133222978,0.538776979499655,0.43064752614584,0.562679279249632,0.57910561485272,-0.641418816181303,0.737423530131732,0.55222411572083,0.743020567251515,0.749244435374482,-0.758109363674996,0.771988089630785
"FOXA2",-0.459622722455176,-0.403671533732371,-0.539196589296886,1,0.918073381138851,-0.159440617306169,-0.0963429944300483,-0.0765502706585107,0.533205430605202,0.204064439821012,0.315130603124258,0.455231485417643,0.272608149681425,0.502440938687796,-0.0110421233218302,-0.578320444295959,-0.54374038647405,-0.506670359891253,0.387511822693701,-0.584609166738379,0.45094628854982,0.433281366468366,0.471384360716037,-0.528854928865246,0.460349746178581,-0.516464085000237,0.488473431446333,0.0289995382347452,0.049872377074592,0.0668185178737268,0.440810124785375,-0.528448364949641,-0.514986679121009,-0.587858903787586,-0.377017594870397,-0.573919263590494,-0.350435699524885,-0.345093198724071,0.566250841049595,-0.490308296401714,-0.490308296401714,-0.584075929303792,0.513625553140598,0.507987180453639,0.515228662768412,-0.0050372828393552,0.487573976185109,0.506754084940792,-0.57749059567283,-0.310191480116523,-0.375619395675326,-0.394603740962169,-0.411849735330711,-0.575303989515314,0.452066397291524,0.00805212870376073,0.0759837212389934,0.496808549075091,-0.595574041141839,-0.537124101484152,-0.585483270312878,-0.574304874430024,0.461500600408883,0.288501970317084,0.279060041493105,-0.578609265205154,0.479950841947079,0.468387275779202,0.498837072940147,-0.608701003312093,-0.605972823710166,0.480328521838566,-0.599960303879545,-0.0307952950468443,0.110996292902865,-0.367422285853563,-0.622751034270701,0.0111406992353733,-0.560348293922215,0.365881641507662,-0.538075941323604,-0.471871134290481,-0.412957548088947,-0.557904387240693,-0.575081694174691,0.321972844655648,-0.612924946228695,-0.00580098151260199,0.0647769905600242,0.5090176956985,0.52466549586642,-0.206127737540445,0.430634385049529,0.340968445381749,0.383675331464709,0.259340051610875,0.301056432613437,0.233801889993161,0.0474561349073759,-0.130119101103795,-0.0068057966666194,0.289437547355043,0.477124818910327,0.392876266142362,-0.626370631767448,-0.590612579165509,-0.423314677697626,-0.387469969701626,-0.3978078997324,-0.40845915626345,0.541966458442557,-0.612410067967908,-0.423510884363524,-0.613105270620349,-0.606322027400184,0.638460983955931,-0.480870833758951
"NHLH1",-0.474344019691572,-0.414364317321965,-0.555104298407651,0.918073381138851,1,-0.164919244656392,-0.103040532869749,-0.0862291568343101,0.543582391473062,0.193203394350434,0.310576588558102,0.459184055715066,0.263738241940668,0.519601269300601,-0.0229216301555833,-0.584351321968958,-0.548269150341881,-0.517032014350583,0.394933533085754,-0.591127392086122,0.465228784459291,0.448451958022732,0.475334719203003,-0.534789100650115,0.474351876610344,-0.5219410622992,0.502282485142785,0.00999639613043133,0.0314795877257463,0.0501173220611483,0.441868827350681,-0.541624932233039,-0.520724525045653,-0.595354968320165,-0.375568606006642,-0.58230375937712,-0.349255343657232,-0.34302385125672,0.578238114995676,-0.491578734785538,-0.491578734785538,-0.57786903239544,0.527860118095112,0.523008116131559,0.528227510802185,0.00899587452369984,0.501936465825688,0.521077581923062,-0.588135697143841,-0.320404706927586,-0.371904380753249,-0.390868110254666,-0.42434739549125,-0.56825966170036,0.459396088613814,-0.00145809535523209,0.0657570661376548,0.509876082174632,-0.603275181453594,-0.550143398431471,-0.592396904382818,-0.580283769058397,0.470683592946581,0.283072107289568,0.292080051962092,-0.584705868456452,0.494545612581503,0.478785997542238,0.510575438831934,-0.605525245163889,-0.601945207141037,0.495363686052668,-0.606580269639825,-0.0411979160244681,0.124030148447873,-0.376173029492734,-0.621614573487127,0.00281587019426319,-0.568834534832166,0.372976625418491,-0.549643829359083,-0.488169295966068,-0.429017768947742,-0.564759066921118,-0.586800248350974,0.334221663509009,-0.61111402485527,0.00855219329075145,0.0561575269827081,0.522221674954466,0.536722266134515,-0.216869630740937,0.431111080720016,0.339775640284086,0.385206317543045,0.253773014741974,0.299435583825791,0.222835533419951,0.0393058861922822,-0.119945486039608,0.0066517192443285,0.286251794456519,0.4971206428201,0.406631152251337,-0.627249759797406,-0.600063736929701,-0.441404269255537,-0.399231055116034,-0.400119008230025,-0.414075398326002,0.554368624270627,-0.607911079945315,-0.436713582897759,-0.611182585899437,-0.602722579381812,0.648624184898725,-0.486621661069135
"GABPA",0.0741569873817438,0.0221653247483985,0.288686043333138,-0.159440617306169,-0.164919244656392,1,0.0629756904740085,0.0757695540645335,0.0820490374828492,0.333503878216122,0.216603957222582,0.0241025627882628,0.227783467218556,-0.200484484079514,0.140932846134378,0.243197684675503,0.216085166688217,0.158147489047481,-0.359241410390903,0.256332356495128,-0.376471210911811,-0.411524275427064,0.016094505126428,0.202178257925825,-0.151775283268028,0.181525996932067,-0.340292821635648,0.399917881524644,0.397438239550667,0.313521663933627,0.180522508320479,0.111474903182031,0.0716534769153917,0.0785978182279514,0.27790730375059,0.0976322222625751,0.276786903637129,0.257825422689075,-0.209528548036532,0.0957832035946883,0.0957832035946883,0.201924685693442,-0.206204225952144,-0.1973286960749,-0.207186777645601,-0.475037626021447,-0.264455182159336,-0.270345622761849,0.243303898444318,-0.155527089840545,-0.0011336789549855,0.0243504585319702,-0.0140444415031279,0.152407006109964,0.1774369312209,0.137433788340627,0.0946945681997428,-0.312917911026396,0.221918849434788,0.170904220151534,0.246576031316893,0.204280384096062,-0.242879114351735,0.0705963028307131,-0.422774785845084,0.251091024951536,-0.313661106081361,-0.23916660539994,-0.263802832644398,0.202514917553753,0.201972962976886,-0.265772310424662,0.249922496635608,0.14329350374962,-0.41506073775618,-0.0105524730625772,0.219345403413061,0.0368674688064646,0.247301055088255,-0.117525430815655,0.259737500245221,0.0854481483359184,0.159355287679782,0.23324298526691,0.236469475015565,-0.438717048343045,0.213792080438999,-0.486355552394333,-0.246760900517443,-0.197642341644076,-0.214175622315814,0.0992842147157477,-0.0111396820907996,0.0460742230222626,-0.0372498992533508,0.080546630842537,-0.00500303552558909,0.287097364573744,-0.244510196625005,-0.400044370837896,-0.487335509647646,0.0515725570851561,-0.236156838334834,-0.167714176235785,0.207925927386799,0.263166141222985,0.162414497005193,-0.0861841492504066,0.280959457031001,0.272125034406204,-0.229806382655835,0.174734693406138,0.00333230009582385,0.213800102451278,0.210517592073917,-0.288437974954971,0.192509295735507
"PBX1",0.29453019079263,0.218619094832299,0.291493503957917,-0.0963429944300483,-0.103040532869749,0.0629756904740085,1,0.934630093224027,-0.337922453895845,0.0861858649299041,-0.0688508768069905,-0.153425866131847,0.0101985983542429,-0.469815199219876,0.828149031146543,0.227921207082674,0.247070360510526,0.325456614708323,-0.372860266746084,0.233996720438281,-0.441564583769955,-0.430127500894867,-0.196612951385451,0.294930148981936,-0.3858966711693,0.331048708897046,-0.261673465263745,0.222834500270733,0.188923691050319,0.218952764731404,-0.29014111771783,0.353325007633456,0.367635642314929,0.356411815644101,0.185560163875347,0.359631119618134,0.158567655600987,0.143790536576768,-0.405670921926188,0.32441603497518,0.32441603497518,0.221733086936561,-0.348994202938919,-0.346935802805918,-0.350379910048919,-0.11499691334924,-0.3021739322349,-0.326110204596391,0.316245078715366,0.460517531604365,0.192724806155986,0.223087938374503,0.253220028702873,0.179213244011907,-0.347662223311699,0.805156763801255,0.815814157726244,-0.298270586959896,0.3171583241074,0.337357765654253,0.261971754954918,0.322932679915655,-0.3363277764412,0.101545547368318,-0.234807152188714,0.257552320569892,-0.296911849497866,-0.357349197645589,-0.32074476684727,0.183401172107679,0.199921468780389,-0.305794304335271,0.218134161303357,0.830001206279298,-0.234606864518413,0.186495150497366,0.196940082563964,0.894011705395454,0.241063789125675,0.0175403057413262,0.345109464574329,0.37395356920693,0.323777608716778,0.247697806403642,0.322023533735832,-0.253827118495741,0.194593262701775,-0.108550191903214,0.482254826489326,-0.376896204941693,-0.39106666099238,0.868237076812802,-0.0390581148369128,0.0477647442452626,0.0158065785629262,0.149943754827494,0.0852553081297957,0.0628020964153451,0.4887918717378,-0.0133094992794457,-0.0859075162261411,0.104472022061941,-0.474580767432041,-0.32418963837087,0.267479220507428,0.239615820566444,0.304975765743216,0.47358241431951,0.157707865637209,0.174255942724054,-0.400061554006491,0.221575314693581,0.268234974818646,0.194433946482382,0.175195662875551,-0.383482925257998,0.370478422067903
"ELK4",0.283731413464392,0.22096854619814,0.290042978422202,-0.0765502706585107,-0.0862291568343101,0.0757695540645335,0.934630093224027,1,-0.317037376966856,0.0933840208519582,-0.0613905973885393,-0.149850179013837,0.0191857467763666,-0.462297485604609,0.842801649979979,0.219023923992646,0.240599067632348,0.318277321383406,-0.354411915879691,0.230142175299312,-0.439069581549892,-0.426296292815837,-0.187126756546368,0.287248940653608,-0.382093762565371,0.322673963446311,-0.263303232033105,0.22891171270009,0.196216371077389,0.219089034472087,-0.269844029536171,0.338011997789248,0.350737482558294,0.342496769365034,0.193629630205501,0.346863649493525,0.16773280752907,0.153360797683257,-0.389018979993717,0.303933097565431,0.303933097565431,0.208862583275087,-0.368736654045848,-0.366353167606946,-0.369023856960285,-0.122280539513196,-0.303108177483601,-0.324469351720155,0.312168857302009,0.446760630481167,0.179594200029142,0.207009827083276,0.258262364573459,0.163795969993272,-0.316948381617552,0.828674718422181,0.83343878675116,-0.298917569139795,0.310169884350444,0.332947102087513,0.256915128825244,0.317324661276826,-0.333545937389206,0.096626269968426,-0.218238927682239,0.247660883974746,-0.296832110454481,-0.344090128456153,-0.319185029910467,0.171836945090957,0.189309373406615,-0.304634401981544,0.213852113242593,0.847328155224236,-0.2292348809801,0.190437245203025,0.185385017273202,0.899819722983734,0.23911401114448,-0.0379726358509949,0.34314254339125,0.365599869306087,0.320547277400779,0.24129372318314,0.317535824184083,-0.237573298827747,0.18062700807083,-0.113984474830952,0.471244014737135,-0.396847510664432,-0.408528863378109,0.864053410448939,-0.0405741686064781,0.0480759497521486,0.0110176454023354,0.144697040534179,0.0773959701982906,0.0702809014461411,0.47763587837014,-0.0175592191488948,-0.0916491807323645,0.0990749284276122,-0.467751035322601,-0.347183674100034,0.256008377049955,0.235950634889777,0.304841539114124,0.458898433873803,0.161364020890129,0.178787502373556,-0.387447322997287,0.206152885736172,0.271988176985017,0.180507332258382,0.16461128347996,-0.373646805531312,0.361040183177974
"SOX9",-0.568328855126061,-0.465639866634069,-0.527767774558989,0.533205430605202,0.543582391473062,0.0820490374828492,-0.337922453895845,-0.317037376966856,1,0.364161663464364,0.488105437043586,0.589964631103467,0.424839048553015,0.601002363062084,-0.189443493819322,-0.550283943722566,-0.533285166478559,-0.569337960987982,0.400810346907315,-0.559836427766239,0.484610692129278,0.445107352412925,0.626896913414621,-0.538991943283826,0.554127360865719,-0.565856935039301,0.478094140384006,0.137992888259452,0.178569315013177,0.152688851363686,0.753803887272666,-0.619693793859146,-0.62701339595068,-0.693145171712539,-0.316253713452699,-0.670881904094385,-0.276937964645841,-0.273094115496266,0.670976066023774,-0.596532372022808,-0.596532372022808,-0.575989646533363,0.592610650495958,0.59022793187882,0.59877288592919,-0.131617007579892,0.500561733416711,0.523232556896941,-0.598273772084333,-0.569041926284046,-0.433104470173948,-0.46338157605376,-0.498922276232475,-0.581612743932994,0.715979769851504,-0.153716069137824,-0.113650758910277,0.504371723115841,-0.618716849896816,-0.586139884684335,-0.570310790006928,-0.603263588630033,0.496632093232815,0.339297115932303,0.230177046018494,-0.57366935063905,0.477304350424295,0.508980336003627,0.520185947444369,-0.586971385838269,-0.589570658272303,0.496995608337663,-0.567297565218872,-0.207338635548394,0.0549785714166412,-0.422190321855175,-0.598950980683488,-0.236975257085107,-0.544012657554604,0.3630598080359,-0.5728747998902,-0.611866753707935,-0.519179832455419,-0.54424155204425,-0.603193262602055,0.268480578000546,-0.598085585403073,-0.14120688215243,-0.273378606146259,0.605786522588506,0.615574433287099,-0.432548367609688,0.507327337133721,0.402164002211396,0.431347641222393,0.28454018587169,0.312204124671544,0.381780858132095,-0.293101807070141,-0.273733778483876,-0.155051456314128,0.332879889673103,0.575499132316215,0.468149215042849,-0.633408682728502,-0.564640094871121,-0.509882429834073,-0.61820869535956,-0.328888446025304,-0.347697179837573,0.628112045045637,-0.619509232043366,-0.518002656900608,-0.597985540224822,-0.579322213993179,0.634956043250063,-0.550146836057859
"TEAD1",-0.248799202502523,-0.178340203676018,-0.104767431550244,0.204064439821012,0.193203394350434,0.333503878216122,0.0861858649299041,0.0933840208519582,0.364161663464364,1,0.799331561451953,0.672103370021823,0.842097809993104,0.0897451123315304,0.134393440000054,-0.179835970745815,-0.174384901408497,-0.166004598326645,-0.0681354235009057,-0.181437334746294,-0.0474396283335719,-0.0912468652186814,0.493107174386151,-0.154064074111723,0.110182454599833,-0.150528664035824,0.0549771662239672,0.794135384301253,0.826302993911746,0.744402417721318,0.337258106280859,-0.212414272465108,-0.20722683451232,-0.276683446511763,-0.00405563957286339,-0.261391114025835,0.00786198234331317,-0.00550240642587677,0.188737145845249,-0.215959001120519,-0.215959001120519,-0.214276937601953,0.189597685625427,0.190604383895822,0.186296633373029,-0.395745232767787,0.112430080621688,0.10199861784714,-0.163800994973456,-0.18508911360585,-0.259677267602336,-0.246705114839967,-0.173313884123142,-0.293036647075768,0.310928642918207,0.147573515017681,0.162720796321291,0.112461475492248,-0.181802592694548,-0.170589972227222,-0.165883185517138,-0.190310782559844,0.0861695077445279,0.629775496121165,-0.18261546877793,-0.16768730844054,0.0807807061311583,0.0484203577524769,0.115676579268494,-0.255951937041551,-0.248815358171899,0.105155437667326,-0.192161206719454,0.126853108884298,-0.356809666368333,-0.18224410092997,-0.248077928120957,0.103933164482306,-0.1649144179818,0.199565931295862,-0.121615271959011,-0.212864447109056,-0.158245854648881,-0.164567650697316,-0.168359978799007,-0.170892717045926,-0.259549833773771,-0.411425984550711,0.0108339572680594,0.186235217188624,0.183420974295147,0.0181462191346439,0.685240751535567,0.729712478404104,0.649419943564525,0.714291671664625,0.624771964803829,0.884390572376622,-0.00378519628535383,-0.423951057106279,-0.418201804725549,0.713455158555036,0.0607834619325081,0.1012406518133,-0.235175418153247,-0.172906542296535,-0.174276627556926,-0.20773340418213,-0.0299888931773736,-0.0259288163612925,0.144636697847194,-0.265390591604682,-0.176911536587058,-0.259490024193695,-0.257547443113274,0.103421838148273,-0.12615440909962
