"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnip1",3.64993399725851e-240,0.996449391859506,0.626,0.225,6.11181447840938e-236,"NE_1","Kcnip1"
"Piezo2",3.49694555121723e-164,0.744982183044862,0.782,0.441,5.85563532551325e-160,"NE_1","Piezo2"
"mt-Nd3",7.93259109862755e-137,0.538901761126899,1,0.959,1.32831237946518e-132,"NE_1","mt-Nd3"
"mt-Cytb",2.19393001033985e-120,0.408724789716704,1,0.996,3.67373580231407e-116,"NE_1","mt-Cytb"
"mt-Nd1",1.66243870371969e-117,0.436435995413451,1,0.993,2.78375360937862e-113,"NE_1","mt-Nd1"
"mt-Nd4",6.92103209612786e-103,0.357442396818096,1,0.994,1.15892682449661e-98,"NE_1","mt-Nd4"
"Nrxn1",2.49079954959811e-102,0.466951654474734,0.718,0.413,4.17084384580204e-98,"NE_1","Nrxn1"
"Cplx2",1.41253413153569e-98,0.539062153339893,0.702,0.449,2.36528840325651e-94,"NE_1","Cplx2"
"Meis2",1.75809637623661e-94,0.488604735815051,0.732,0.448,2.9439323820082e-90,"NE_1","Meis2"
"mt-Nd2",1.71473970827384e-87,0.339654852587125,1,0.997,2.87133164150454e-83,"NE_1","mt-Nd2"
"mt-Co3",1.59742586535638e-74,0.276116040971103,1,0.999,2.67488961153926e-70,"NE_1","mt-Co3"
"mt-Co2",4.05346175123197e-74,0.278779373954817,1,0.999,6.78752170243793e-70,"NE_1","mt-Co2"
"Pclo",6.19581282764622e-72,0.403257442243469,0.515,0.283,1.03748885798936e-67,"NE_1","Pclo"
"Ptprt",8.20575275462608e-71,0.462347933875146,0.742,0.506,1.37405329876214e-66,"NE_1","Ptprt"
"Ddc",1.07895015338043e-68,0.44308052016743,0.468,0.247,1.80670203183553e-64,"NE_1","Ddc"
"mt-Atp6",1.76424383150718e-68,0.261260813369775,1,1,2.95422629585878e-64,"NE_1","mt-Atp6"
"Zfpm2",2.00627754115282e-66,0.48787081101573,0.493,0.283,3.3595117426604e-62,"NE_1","Zfpm2"
"Nlgn1",7.07730778576031e-66,0.407153132745896,0.532,0.308,1.18509518872556e-61,"NE_1","Nlgn1"
"Frmpd4",9.65485401302312e-55,0.381361935204982,0.395,0.212,1.61670530448072e-50,"NE_1","Frmpd4"
"Robo1",4.8659589231273e-53,0.373248922903426,0.469,0.276,8.14804821677667e-49,"NE_1","Robo1"
"Cacna1a",7.02783162896175e-49,0.337449058631654,0.531,0.336,1.17681040626965e-44,"NE_1","Cacna1a"
"Ctnna2",1.62549608132739e-46,0.325193951840525,0.435,0.256,2.72189318818271e-42,"NE_1","Ctnna2"
"Cdh13",5.96166538602401e-45,0.263657553205747,0.631,0.413,9.9828086888972e-41,"NE_1","Cdh13"
"Agbl4",3.44044881954406e-42,0.264637448278327,0.312,0.161,5.76103154832652e-38,"NE_1","Agbl4"
"Ntn4",1.93053847408665e-34,0.262940342735191,0.337,0.198,3.23268667485809e-30,"NE_1","Ntn4"
"mt-Nd4l",1.06001437351749e-33,0.250577978814519,0.926,0.854,1.77499406845504e-29,"NE_1","mt-Nd4l"
"Mecom",0,1.6046412308287,0.858,0.134,0,"Club cells_1","Mecom"
"Rad51b",0,1.18975882818406,0.595,0.09,0,"Club cells_1","Rad51b"
"Malat1",0,1.1063800962926,0.998,0.997,0,"Club cells_1","Malat1"
"Col23a1",0,0.978085748524145,0.544,0.07,0,"Club cells_1","Col23a1"
"Atp11a",0,0.867596392441215,0.624,0.131,0,"Club cells_1","Atp11a"
"Il18r1",0,0.838398222112836,0.592,0.126,0,"Club cells_1","Il18r1"
"Ptpn13",0,0.821378519950297,0.597,0.117,0,"Club cells_1","Ptpn13"
"Samd4",0,0.773355390940429,0.506,0.055,0,"Club cells_1","Samd4"
"Runx1",0,0.589325312324552,0.408,0.055,0,"Club cells_1","Runx1"
"Prdm16",0,0.526543712516003,0.395,0.05,0,"Club cells_1","Prdm16"
"Scgb1a1",1.00645606541026e-291,0.52454102853628,0.784,0.291,1.68531068152948e-287,"Club cells_1","Scgb1a1"
"Ahnak",7.48949803061846e-286,0.666448059259656,0.477,0.093,1.25411644522706e-281,"Club cells_1","Ahnak"
"Eya2",5.34617388177189e-281,0.482158439940681,0.356,0.045,8.95216816502704e-277,"Club cells_1","Eya2"
