"","motif","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","motif.name"
"1","MA0003.4",1.15986338281681e-250,1.6305596440617,0.828,0.415,7.34193521323042e-248,"Club cells_1","TFAP2A"
"2","MA0003.4",5.13062685812293e-59,0.978590745342515,0.789,0.463,3.24768680119181e-56,"Club cell_2","TFAP2A"
"3","MA0003.4",1.38338195880331e-23,1.27939004711476,0.772,0.473,8.75680779922497e-21,"Club cells_3","TFAP2A"
"4","MA0009.2",4.40795522497467e-34,0.505472611801049,0.654,0.477,2.79023565740897e-31,"NE_2","TBXT"
"5","MA0009.2",7.2741917233434e-06,0.518534525953162,0.65,0.498,0.00460456336087637,"NE_8","TBXT"
"6","MA0009.2",2.19204228688846e-51,0.787522390813745,0.679,0.475,1.3875627676004e-48,"NE_3","TBXT"
"7","MA0014.3",5.3970145559059e-10,0.794928713457077,0.783,0.485,3.41631021388844e-07,"Cilliated cells","PAX5"
"8","MA0017.2",4.00189215350192e-65,3.59640031148793,0.935,0.41,2.53319773316672e-62,"Club cells_3","NR2F1"
"9","MA0017.2",2.03236885628293e-113,2.12251116212173,0.892,0.396,1.28648948602709e-110,"Club cell_2","NR2F1"
"10","MA0017.2",0,1.96538180186682,0.91,0.33,0,"Club cells_1","NR2F1"
"11","MA0018.4",1.19481030453597e-05,2.03093465910915,0.839,0.492,0.00756314922771268,"Stromal cells","CREB1"
"12","MA0018.4",4.07490767266219e-120,3.96965551399069,0.766,0.454,2.57941655679517e-117,"NE_2","CREB1"
"13","MA0018.4",8.08799372651579e-13,0.559005786344365,0.905,0.491,5.1197000288845e-10,"Endothelial cells","CREB1"
"14","MA0024.3",3.73448201983938e-10,2.09068648062062,0.871,0.483,2.36392711855833e-07,"Stromal cells","E2F1"
"15","MA0024.3",6.71433484362737e-12,1.96911998457007,0.857,0.482,4.25017395601612e-09,"Endothelial cells","E2F1"
"16","MA0024.3",7.65140632569481e-17,0.746236298379702,0.671,0.476,4.84334020416482e-14,"NFIB high_NE","E2F1"
"17","MA0025.2",1.06234767718501e-53,4.12032989740471,0.951,0.436,6.7246607965811e-51,"AT2 cells","NFIL3"
"18","MA0025.2",9.08860203832184e-222,1.01964949406523,0.789,0.381,5.75308509025773e-219,"Club cells_1","NFIL3"
"19","MA0025.2",1.27348006646194e-07,1.90732893845134,0.806,0.443,8.06112882070406e-05,"Stromal cells","NFIL3"
"20","MA0025.2",6.2376817970222e-42,1.83442281204417,0.853,0.436,3.94845257751505e-39,"Club cells_3","NFIL3"
"21","MA0025.2",5.64958201153924e-18,0.883981182466677,0.859,0.44,3.57618541330434e-15,"Cilliated cells","NFIL3"
"22","MA0025.2",5.37298220592888e-98,2.63855139206232,0.858,0.422,3.40109773635298e-95,"Club cell_2","NFIL3"
"23","MA0027.2",1.19493812856694e-62,1.82690716650991,0.839,0.481,7.5639583538287e-60,"NFIB high_NE","EN1"
"24","MA0027.2",1.5049323322074e-08,0.868868371875254,0.655,0.493,9.52622166287283e-06,"NE_7","EN1"
"25","MA0027.2",2.52971696839008e-12,0.553727229934534,0.624,0.488,1.60131084099092e-09,"NE_6","EN1"
"26","MA0028.2",0.0026367965789008,3.8380599846134,0.485,0.456,1,"NE_4","ELK1"
"27","MA0028.2",1.31614943591856e-17,2.09782621264559,1,0.457,8.3312259293645e-15,"Stromal cells","ELK1"
"28","MA0028.2",4.77478195775425e-25,6.23420726487603,1,0.456,3.02243697925844e-22,"Endothelial cells","ELK1"
"29","MA0030.1",3.54892341720139e-59,1.24860277498078,0.669,0.448,2.24646852308848e-56,"NE_3","FOXF2"
"30","MA0030.1",3.90712949228059e-14,3.03710379068542,0.6,0.467,2.47321296861361e-11,"NE_6","FOXF2"
"31","MA0030.1",1.2287820734325e-32,1.2769895998756,0.832,0.466,7.77819052482774e-30,"Club cells_3","FOXF2"
"32","MA0030.1",2.38097903658441e-08,1.11146360773663,0.786,0.473,1.50715973015793e-05,"Endothelial cells","FOXF2"
"33","MA0031.1",3.44347043293677e-39,3.28984294131843,0.832,0.449,2.17971678404898e-36,"Club cells_3","FOXD1"
"34","MA0031.1",4.78373674590309e-103,2.33358551329245,0.713,0.423,3.02810536015666e-100,"NE_3","FOXD1"
"35","MA0031.1",4.38000006709702e-16,2.40686879005164,0.602,0.449,2.77254004247241e-13,"NE_6","FOXD1"
"36","MA0032.2",0.00238887089809759,0.943230696794923,0.59,0.47,1,"NE_8","FOXC1"
"37","MA0032.2",1.0636928794253e-53,1.66123630068792,0.655,0.446,6.73317592676215e-51,"NE_3","FOXC1"
"38","MA0032.2",2.60821286618537e-65,3.66077432334164,0.773,0.453,1.65099874429534e-62,"NE_6","FOXC1"
"39","MA0033.2",1.67231168062527e-20,2.95591683396855,0.652,0.469,1.05857329383579e-17,"NE_6","FOXL1"
"40","MA0033.2",7.03464606710991e-34,1.45841414643356,0.815,0.473,4.45293096048058e-31,"Club cells_3","FOXL1"
"41","MA0033.2",6.02752039156832e-69,2.25514631684654,0.693,0.451,3.81542040786275e-66,"NE_3","FOXL1"
"42","MA0035.4",1.57382759916296e-07,1.87045346915972,0.81,0.483,9.96232870270154e-05,"Endothelial cells","GATA1"
"43","MA0036.3",4.04752247963149e-38,0.751393817088174,0.713,0.43,2.56208172960673e-35,"Club cell_2","GATA2"
"44","MA0036.3",2.28596595934449e-19,4.24424150413073,0.929,0.442,1.44701645226506e-16,"Endothelial cells","GATA2"
"45","MA0036.3",0.000117569196203921,1.66106304292684,0.374,0.449,0.074421301197082,"NE_6","GATA2"
"46","MA0036.3",6.19001708274644e-212,2.3010924232755,0.774,0.383,3.9182808133785e-209,"Club cells_1","GATA2"
"47","MA0036.3",4.59128613199358e-38,1.2289375657662,0.853,0.435,2.90628412155193e-35,"Club cells_3","GATA2"
"48","MA0037.3",2.49794032451395e-15,0.832593710019171,0.617,0.452,1.58119622541733e-12,"Club cell_2","GATA3"
"49","MA0037.3",5.66917404495414e-21,5.58018846878177,0.952,0.458,3.58858717045597e-18,"Endothelial cells","GATA3"
"50","MA0037.3",2.14572319993107e-124,2.35137506580469,0.702,0.415,1.35824278555637e-121,"Club cells_1","GATA3"
"51","MA0037.3",4.25028741047103e-29,0.891073474939461,0.788,0.453,2.69043193082816e-26,"Club cells_3","GATA3"
"52","MA0038.2",4.71237862386864e-14,2.77324038324356,0.968,0.49,2.98293566890885e-11,"Stromal cells","GFI1"
"53","MA0038.2",1.15435516142112e-12,1.45146176424152,0.768,0.487,7.30706817179569e-10,"AT2 cells","GFI1"
"54","MA0038.2",3.32160285238544e-14,2.49940120961078,0.929,0.49,2.10257460555998e-11,"Endothelial cells","GFI1"
"55","MA0038.2",6.47165486003068e-12,0.744441879493069,0.804,0.489,4.09655752639942e-09,"Cilliated cells","GFI1"
"56","MA0038.2",1.9621630332569e-47,1.53309493357767,0.785,0.479,1.24204920005161e-44,"NFIB high_NE","GFI1"
"57","MA0039.4",9.10030381346317e-56,0.996471683496855,0.789,0.461,5.76049231392219e-53,"Club cell_2","KLF4"
"58","MA0039.4",1.33519892997753e-16,0.974322261878087,0.734,0.472,8.45180922675774e-14,"Club cells_3","KLF4"
"59","MA0039.4",3.97136188363716e-10,1.06343230509779,0.857,0.476,2.51387207234232e-07,"Endothelial cells","KLF4"
"60","MA0039.4",3.80992548141113e-181,1.23046915054318,0.779,0.422,2.41168282973324e-178,"Club cells_1","KLF4"
"61","MA0042.2",7.03464606710991e-34,1.45841414643356,0.815,0.473,4.45293096048058e-31,"Club cells_3","FOXI1"
"62","MA0042.2",6.02752039156832e-69,2.25514631684654,0.693,0.451,3.81542040786275e-66,"NE_3","FOXI1"
"63","MA0042.2",1.67231168062527e-20,2.95591683396855,0.652,0.469,1.05857329383579e-17,"NE_6","FOXI1"
"64","MA0043.3",1.07948064636397e-56,3.28337199285512,0.972,0.422,6.8331124914839e-54,"AT2 cells","HLF"
"65","MA0043.3",4.3022152607484e-07,2.56311938794188,0.774,0.43,0.000272330226005373,"Stromal cells","HLF"
"66","MA0043.3",2.07890680824392e-48,1.88187419774323,0.908,0.42,1.3159480096184e-45,"Club cells_3","HLF"
"67","MA0043.3",2.97990124120187e-118,4.22249915250306,0.897,0.406,1.88627748568078e-115,"Club cell_2","HLF"
"68","MA0046.2",3.49330703239303e-25,0.697893910222905,0.804,0.455,2.21126335150479e-22,"Club cells_3","HNF1A"
"69","MA0046.2",1.69356424050392e-78,0.991483297757349,0.837,0.442,1.07202616423898e-75,"Club cell_2","HNF1A"
"70","MA0046.2",2.46761946865346e-34,2.3582234316564,0.873,0.455,1.56200312365764e-31,"AT2 cells","HNF1A"
"71","MA0046.2",4.78012810605164e-220,1.38026761275573,0.809,0.398,3.02582109113069e-217,"Club cells_1","HNF1A"
"72","MA0047.3",5.07198141694975e-98,1.98926224446771,0.711,0.429,3.21056423692919e-95,"NE_3","FOXA2"
"73","MA0047.3",1.10928554435439e-28,4.22203073658756,0.674,0.45,7.02177749576331e-26,"NE_6","FOXA2"
"74","MA0048.2",1.91641632452119e-05,0.524267282408747,0.73,0.561,0.0121309153342191,"NE_8","NHLH1"
"75","MA0048.2",2.37001351827686e-116,1.5941197607271,0.912,0.53,1.50021855706925e-113,"NE_5","NHLH1"
"76","MA0048.2",8.57195185603043e-78,2.5129921808961,0.918,0.548,5.42604552486726e-75,"NFIB high_NE","NHLH1"
"77","MA0048.2",1.47568981059077e-30,2.55408775583629,0.91,0.556,9.3411165010396e-28,"NE_7","NHLH1"
"78","MA0050.2",5.65771190791637e-15,1.58027426789363,0.935,0.44,3.58133163771106e-12,"Stromal cells","IRF1"
"79","MA0050.2",2.98360495027035e-21,1.7926267085633,0.976,0.439,1.88862193352113e-18,"Endothelial cells","IRF1"
"80","MA0050.2",0.0021794444904512,6.68952272873825,0.395,0.447,1,"NE_4","IRF1"
"81","MA0051.1",2.22493944322366e-11,2.52341447608562,0.903,0.47,1.40838666756058e-08,"Stromal cells","IRF2"
"82","MA0051.1",1.46833319547293e-17,3.54223274048975,0.929,0.469,9.29454912734363e-15,"Endothelial cells","IRF2"
"83","MA0051.1",0.00685859183319422,3.7502034849832,0.441,0.475,1,"NE_4","IRF2"
"84","MA0052.4",3.12333302491841e-24,5.14777844907459,1,0.482,1.97706980477336e-21,"Endothelial cells","MEF2A"
"85","MA0052.4",1.75837592802581e-18,8.23541507846207,0.968,0.483,1.11305196244034e-15,"Stromal cells","MEF2A"
"86","MA0057.1",4.78759361139776e-07,0.536418685694808,0.606,0.486,0.000303054675601478,"NE_6","MZF1(var.2)"
"87","MA0057.1",5.82130251933876e-08,1.35893065513415,0.903,0.491,3.68488449474144e-05,"Stromal cells","MZF1(var.2)"
"88","MA0058.3",3.59755855750491e-11,1.32177768894729,0.612,0.489,2.27725456690061e-08,"NE_6","MAX"
"89","MA0058.3",1.23308836800207e-10,0.511299669601514,0.754,0.492,7.80544936945307e-08,"AT2 cells","MAX"
"90","MA0059.1",1.1581758103099e-11,0.804531138080509,0.725,0.484,7.33125287926168e-09,"AT2 cells","MAX::MYC"
"91","MA0059.1",3.52174215254592e-08,0.911925185023357,0.573,0.483,2.22926278256157e-05,"NE_6","MAX::MYC"
"92","MA0060.3",2.68097761644484e-67,1.98072899867054,0.83,0.476,1.69705883120959e-64,"NFIB high_NE","NFYA"
"93","MA0060.3",3.90647221518176e-11,0.751986715814625,0.793,0.487,2.47279691221005e-08,"Cilliated cells","NFYA"
"94","MA0060.3",0.000122826980693236,1.27410480636479,0.742,0.49,0.0777494787788184,"Stromal cells","NFYA"
"95","MA0060.3",1.27058989513404e-59,1.57369724992963,0.769,0.473,8.04283403619846e-57,"NE_6","NFYA"
"96","MA0062.3",5.49130436135514e-27,11.2706964680791,1,0.457,3.47599566073781e-24,"Endothelial cells","GABPA"
"97","MA0063.2",8.29962852074685e-171,1.35288557298315,0.785,0.435,5.25366485363276e-168,"Club cells_1","NKX2-5"
"98","MA0063.2",4.49569644687946e-50,1.02621380195412,0.798,0.473,2.8457758508747e-47,"Club cell_2","NKX2-5"
"99","MA0063.2",2.0265496360245e-34,3.27021113122179,0.873,0.483,1.28280591960351e-31,"AT2 cells","NKX2-5"
"100","MA0063.2",1.96212509745944e-24,1.07677630053969,0.788,0.483,1.24202518669183e-21,"Club cells_3","NKX2-5"
"101","MA0066.1",6.32785508031751e-29,0.650116379624136,0.612,0.464,4.00553226584099e-26,"NE_2","PPARG"
"102","MA0068.2",5.97198621871629e-22,1.2838068942664,0.656,0.491,3.78026727644741e-19,"NE_6","PAX4"
"103","MA0068.2",4.28549271244729e-39,0.504189477546429,0.658,0.479,2.71271688697913e-36,"NE_3","PAX4"
"104","MA0068.2",3.53649509055132e-15,0.848949353838781,0.751,0.495,2.23860139231899e-12,"NE_7","PAX4"
"105","MA0068.2",4.63563723312432e-06,1.68930266701048,0.71,0.498,0.00293435836856769,"NE_8","PAX4"
"106","MA0068.2",1.30074994100682e-61,2.04671914860238,0.839,0.486,8.23374712657315e-59,"NFIB high_NE","PAX4"
"107","MA0069.1",4.61765655683746e-27,1.03373040828939,0.708,0.484,2.92297660047811e-24,"NFIB high_NE","PAX6"
"108","MA0070.1",5.92676744721126e-168,2.5333772228141,0.84,0.478,3.75164379408473e-165,"NE_3","PBX1"
"109","MA0070.1",2.45201167628363e-14,1.32944901834053,0.81,0.518,1.55212339108754e-11,"NE_8","PBX1"
